index,distance,narrative,time,direction,directionName,signs,maneuverNotes,formattedTime,transportMode,startPoint,turnType,attributes,iconUrl,streets,mapUrl
10,0.0118,Keep right onto Piazza di Porta San Giovanni. Go for 62 ft.,2,5,Southeast,[],[],00:00:02,car,"{'lat': 41.88609999999999, 'lng': 12.508929999999985}",16,0,,['Piazza di Porta San Giovanni'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.88609999999999,12.508929999999985|marker-11||41.88595999999999,12.509059999999986|marker-12||&center=41.88602999999999,12.508994999999985&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
11,0.0615,Keep left onto Piazzale Appio. Go for 325 ft.,30,5,Southeast,[],[],00:00:30,car,"{'lat': 41.88595999999999, 'lng': 12.509059999999986}",17,0,,"['Piazzale Appio', 'Porta San Giovanni']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.88595999999999,12.509059999999986|marker-12||41.88524999999999,12.509779999999987|marker-13||&center=41.88560499999999,12.509419999999986&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
12,0.2827,Continue on Via Appia Nuova. Go for 0.3 mi.,65,5,Southeast,[],[],00:01:05,car,"{'lat': 41.88524999999999, 'lng': 12.509779999999987}",0,0,,['Via Appia Nuova'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.88524999999999,12.509779999999987|marker-13||41.882209999999986,12.513449999999983|marker-14||&center=41.883729999999986,12.511614999999985&defaultMarker=none&zoom=14&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
13,0.4207,Take the 3rd exit from Piazza dei Re di Roma roundabout onto Via Appia Nuova toward Aeroporto Ciampino/Grande Raccordo Anulare/Appia/SS7. Go for 0.4 mi.,84,5,Southeast,[],[],00:01:24,car,"{'lat': 41.882209999999986, 'lng': 12.513449999999983}",28,0,,"['Piazza dei Re di Roma', 'Via Appia Nuova']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.882209999999986,12.513449999999983|marker-14||41.87808,12.518449999999982|marker-15||&center=41.88014499999999,12.515949999999982&defaultMarker=none&zoom=14&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
14,0.5922,Keep left onto Via Appia Nuova. Go for 0.6 mi.,116,5,Southeast,[],[],00:01:56,car,"{'lat': 41.87808, 'lng': 12.518449999999982}",17,0,,"['Via Appia Nuova', 'Piazza di Ponte Lungo', ""Piazza dell'Alberone""]","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.87808,12.518449999999982|marker-15||41.8719,12.526319999999986|marker-16||&center=41.87499,12.522384999999984&defaultMarker=none&zoom=13&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
15,0.3902,Keep left onto Via Appia Nuova toward Via Tuscolana. Go for 0.4 mi.,79,8,East,[],[],00:01:19,car,"{'lat': 41.8719, 'lng': 12.526319999999986}",17,0,,"['Via Appia Nuova', 'Piazza Cesare Cantù', 'Via delle Cave']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.8719,12.526319999999986|marker-16||41.871770000000005,12.533639999999986|marker-17||&center=41.871835000000004,12.529979999999986&defaultMarker=none&zoom=14&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
16,0.5319,Continue on Via Tuscolana. Go for 0.5 mi.,94,5,Southeast,[],[],00:01:34,car,"{'lat': 41.871770000000005, 'lng': 12.533639999999986}",0,0,,['Via Tuscolana'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.871770000000005,12.533639999999986|marker-17||41.86675000000001,12.54142999999999|marker-18||&center=41.86926000000001,12.537534999999988&defaultMarker=none&zoom=13&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
17,0.1721,Continue on Via Frascati. Go for 0.2 mi.,33,5,Southeast,[],[],00:00:33,car,"{'lat': 41.86675000000001, 'lng': 12.54142999999999}",0,0,,['Via Frascati'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.86675000000001,12.54142999999999|marker-18||41.86468,12.542669999999983|marker-19||&center=41.86571500000001,12.542049999999985&defaultMarker=none&zoom=15&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
18,2.4035,Continue on Via Tuscolana. Go for 2.4 mi.,406,5,Southeast,[],[],00:06:46,car,"{'lat': 41.86468, 'lng': 12.542669999999983}",0,0,,"['Via Tuscolana', 'Largo dei Quintili', 'Largo Appio Claudio']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.86468,12.542669999999983|marker-19||41.84516999999993,12.580399999999985|marker-20||&center=41.854924999999966,12.561534999999985&defaultMarker=none&zoom=11&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
19,0.4946,Keep left onto Via Tuscolana toward Frascati/SS215/Grottaferrata/SS511. Go for 0.5 mi.,49,5,Southeast,[],[],00:00:49,car,"{'lat': 41.84516999999993, 'lng': 12.580399999999985}",17,0,,['Via Tuscolana'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.84516999999993,12.580399999999985|marker-20||41.840299999999914,12.587409999999982|marker-21||&center=41.84273499999992,12.583904999999984&defaultMarker=none&zoom=14&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
20,0.1696,Continue on Via Anagnina. Go for 0.2 mi.,16,5,Southeast,[],[],00:00:16,car,"{'lat': 41.840299999999914, 'lng': 12.587409999999982}",0,0,,['Via Anagnina'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.840299999999914,12.587409999999982|marker-21||41.83849999999992,12.589629999999984|marker-22||&center=41.83939999999991,12.588519999999983&defaultMarker=none&zoom=15&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
21,0.013,Keep left onto Via Anagnina. Go for 69 ft.,1,5,Southeast,[],[],00:00:01,car,"{'lat': 41.83849999999992, 'lng': 12.589629999999984}",17,0,,['Via Anagnina'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.83849999999992,12.589629999999984|marker-22||41.838359999999916,12.589799999999984|marker-23||&center=41.83842999999992,12.589714999999984&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
22,0.0186,Keep right onto Via Anagnina. Go for 98 ft.,2,5,Southeast,[],[],00:00:02,car,"{'lat': 41.838359999999916, 'lng': 12.589799999999984}",16,0,,['Via Anagnina'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.838359999999916,12.589799999999984|marker-23||41.838129999999914,12.589989999999984|marker-24||&center=41.838244999999915,12.589894999999984&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
23,0.1833,Keep left toward Via Tuscolana/SS215/Frascati. Go for 0.2 mi.,20,8,East,[],[],00:00:20,car,"{'lat': 41.838129999999914, 'lng': 12.589989999999984}",17,0,,[],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.838129999999914,12.589989999999984|marker-24||41.83879999999991,12.592159999999984|marker-25||&center=41.838464999999914,12.591074999999984&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
24,3.7363,Take ramp onto Via Tuscolana (SS215) toward Frascati. Go for 3.7 mi.,368,8,East,[],[],00:06:08,car,"{'lat': 41.83879999999991, 'lng': 12.592159999999984}",12,0,,"['SS215', 'Via Tuscolana', 'SP215', 'Strada Provinciale Tuscolana', 'Variante Tuscolana']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.83879999999991,12.592159999999984|marker-25||41.81380999999989,12.653289999999979|marker-26||&center=41.8263049999999,12.622724999999981&defaultMarker=none&zoom=11&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
25,1.3757,Pass 2 roundabouts and continue on Strada Provinciale Tuscolana (SP215). Go for 1.4 mi.,174,8,East,[],[],00:02:54,car,"{'lat': 41.81380999999989, 'lng': 12.653289999999979}",26,0,,"['SP215', 'Strada Provinciale Tuscolana', 'Via Tuscolana', 'SS215']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.81380999999989,12.653289999999979|marker-26||41.80852999999987,12.67592999999998|marker-27||&center=41.811169999999876,12.664609999999978&defaultMarker=none&zoom=12&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
26,0.371,Take the 3rd exit from roundabout onto Piazzale Capocroce (SS216). Go for 0.4 mi.,68,3,Northeast,[],[],00:01:08,car,"{'lat': 41.80852999999987, 'lng': 12.67592999999998}",28,0,,"['SS216', 'Piazzale Capocroce', ""Via San Francesco d'Assisi"", 'Via Luciano Manara', 'Via Brigida Postorino', 'Via Gregoriana']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.80852999999987,12.67592999999998|marker-27||41.81097299999987,12.68135799999998|marker-28||&center=41.80975149999987,12.67864399999998&defaultMarker=none&zoom=14&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
27,0.0,Arrive at Via Gregoriana (SS216).,0,0,None,[],[],00:00:00,car,"{'lat': 41.81097299999987, 'lng': 12.68135799999998}",0,0,,[],
